Source_Name,Signif_Avg,Pivot_Energy,Flux_Density,Flux1000,Energy_Flux100,Signif_Curve,Spectral_Index,PowerLaw_Index,Flux100_300,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_100000,Variability_Index,CLASS1
3FGL J0002.2-4152,5.1584063,1956.0415,7.3239564E-14,2.7140307E-10,3.018269E-12,0.20027262,2.0889208,2.0889208,5.3107603E-09,5.659547E-10,8.5291385E-11,9.7630494E-11,2.5903597E-11,56.351055,bcu
3FGL J0003.2-5246,5.669564,3676.2268,1.9987711E-14,2.5903737E-10,3.0071594E-12,0.9089632,1.8952075,1.8952075,6.580338E-09,8.266808E-13,1.8392893E-10,7.936658E-11,2.977405E-11,45.280437,bcu
3FGL J0003.8-1151,4.181439,2315.8784,4.415179E-14,2.3389926E-10,2.6042033E-12,1.7895,2.0235214,2.0235214,5.977301E-11,5.2658294E-10,2.3129536E-10,4.661099E-11,1.7722861E-11,48.491646,bcu
3FGL J0009.6-3211,5.5362325,1069.8146,3.1059793E-13,2.7656774E-10,3.3801128E-12,1.0274458,2.3097298,2.3097298,4.081132E-09,0.000000001,2.3896274E-10,4.1631767E-11,9.231069E-12,42.533558,bcu
3FGL J0012.4+7040,4.5497255,1066.8414,5.506882E-13,4.3555418E-10,6.2934397E-12,0.20886296,2.4837499,2.4837499,1.122313E-08,2.8467533E-09,1.9864356E-10,5.463572E-11,2.1150618E-11,51.57589,bcu
3FGL J0014.6+6119,7.394392,5187.997,2.7049574E-14,6.702843E-10,7.813535E-12,2.432359,1.8874854,1.8874854,1.0544787E-11,4.6060183E-10,3.8892373E-10,2.1994512E-10,8.166934E-11,50.785423,bcu
3FGL J0015.7+5552,6.3904114,3002.9968,4.8757625E-14,4.449196E-10,4.9642183E-12,1.0433644,2.1145282,2.1145282,7.4276096E-09,1.7875551E-09,3.0455663E-10,8.015106E-11,2.077307E-11,37.672337,bcu
3FGL J0017.2-0643,6.222545,1905.9727,1.11234095E-13,3.8799491E-10,4.3303174E-12,0.9480617,2.1161962,2.1161962,5.8465993E-10,6.231603E-10,4.443031E-10,8.1084674E-11,1.0464663E-11,37.389572,bcu
3FGL J0019.1-5645,6.804785,1088.913,3.2454085E-13,2.8565708E-10,3.7414334E-12,0.52484924,2.3909311,2.3909311,9.928406E-09,6.2096556E-10,2.1689099E-10,5.446915E-11,3.065563E-11,62.856304,bcu
3FGL J0021.6-6835,5.370129,532.6547,1.8591068E-12,2.1162896E-10,3.815398E-12,0.5610481,2.6524696,2.6524696,0.000000007,1.4774325E-09,1.8693622E-10,2.6785735E-11,1.1236076E-15,51.85081,bcu
3FGL J0028.6+7507,7.309538,1172.9393,5.040862E-13,5.449702E-10,6.829396E-12,0.4074953,2.3414557,2.3414557,1.0555096E-08,1.8905253E-09,4.4674314E-10,1.7409087E-10,3.3716296E-12,37.735912,bcu
3FGL J0028.8+1951,6.3154182,761.7829,1.0547256E-12,3.7903075E-10,5.1818493E-12,1.9755355,2.4336774,2.4336774,0.000000008,1.3878173E-09,4.3955442E-10,9.198032E-12,9.879995E-12,42.54417,bcu
3FGL J0030.2-1646,9.159871,5034.0356,1.5811044E-14,3.322941E-10,4.766353E-12,1.3257061,1.6471963,1.6471963,9.871282E-13,6.054251E-15,2.4808577E-10,1.1512298E-10,4.7907556E-11,64.29773,bcu
3FGL J0030.7-0209,14.973778,696.7064,2.8393813E-12,8.711422E-10,1.1273373E-11,3.1370385,2.3780944,2.3780944,1.4598948E-08,3.926752E-09,7.4430945E-10,1.3319955E-10,1.4498485E-15,350.8627,bcu
3FGL J0031.3+0724,5.096812,4521.002,1.2088413E-14,2.2477475E-10,2.7287315E-12,1.0602349,1.8239038,1.8239038,7.6379536E-10,1.4843822E-11,2.1772138E-10,2.9658654E-11,4.3828215E-11,33.016853,bcu
